epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_kd_loss,train/logit_kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_kd_loss,val/logit_kd_loss,lr/pg0,lr/pg1,lr/pg2
1,292.73,2.20149,2.22751,1.47905,0.00039,0.58405,0.282244,0.338902,0.309577,0.125013,0,0,0,0,0,0.000332909,0.000332909,0.067042
2,567.309,2.04146,1.74745,1.39595,0.00026,0.44121,0.388818,0.444941,0.411087,0.178003,0,0,0,0,0,0.00066608,0.00066608,0.0340418
3,841.131,1.9928,1.64394,1.37296,0.0002,0.39161,0.406007,0.467906,0.435437,0.20003,0,0,0,0,0,0.0009986,0.0009986,0.00104101
4,1113.87,1.95583,1.58115,1.35617,0.00019,0.37139,0.431819,0.495563,0.486796,0.230203,0,0,0,0,0,0.000997803,0.000997803,0.000997803
5,1387.02,1.93821,1.54006,1.3428,0.00017,0.36449,0.437831,0.504838,0.491741,0.234566,0,0,0,0,0,0.000996097,0.000996097,0.000996097
6,1660.24,1.91082,1.49662,1.32782,0.00017,0.35424,0.406754,0.49757,0.482118,0.237219,0,0,0,0,0,0.000993906,0.000993906,0.000993906
7,1931.31,1.88476,1.45545,1.30881,0.00016,0.34725,0.486689,0.539064,0.520803,0.267696,0,0,0,0,0,0.000991232,0.000991232,0.000991232
8,2202.97,1.87178,1.44668,1.30166,0.00016,0.3416,0.508096,0.557264,0.536122,0.271442,0,0,0,0,0,0.000988079,0.000988079,0.000988079
9,2475.5,1.85571,1.41297,1.29477,0.00016,0.33531,0.500202,0.563542,0.544987,0.283036,0,0,0,0,0,0.000984449,0.000984449,0.000984449
10,2746.99,1.83953,1.398,1.28931,0.00016,0.33227,0.514898,0.553057,0.556751,0.281502,0,0,0,0,0,0.000980345,0.000980345,0.000980345
11,3020.49,1.81664,1.36419,1.27807,0.00015,0.32751,0.530521,0.56519,0.56011,0.291748,0,0,0,0,0,0.000975773,0.000975773,0.000975773
12,3294.5,1.80238,1.3538,1.26632,0.00015,0.32221,0.530448,0.55768,0.554132,0.294359,0,0,0,0,0,0.000970736,0.000970736,0.000970736
13,3567.1,1.78872,1.33584,1.26228,0.00015,0.32086,0.539483,0.572427,0.570704,0.301296,0,0,0,0,0,0.000965239,0.000965239,0.000965239
14,3839.63,1.76907,1.3093,1.25141,0.00015,0.31794,0.518137,0.573639,0.562929,0.300833,0,0,0,0,0,0.000959289,0.000959289,0.000959289
15,4112.12,1.76494,1.30758,1.25173,0.00014,0.31534,0.556324,0.57935,0.584169,0.313524,0,0,0,0,0,0.000952889,0.000952889,0.000952889
16,4385.39,1.74142,1.2802,1.23974,0.00015,0.31161,0.558857,0.591296,0.595761,0.324812,0,0,0,0,0,0.000946048,0.000946048,0.000946048
17,4657.81,1.72431,1.26347,1.23026,0.00014,0.31111,0.595731,0.597544,0.606268,0.331942,0,0,0,0,0,0.000938772,0.000938772,0.000938772
18,4931.61,1.71782,1.26037,1.22292,0.00014,0.30844,0.581951,0.57353,0.602829,0.333891,0,0,0,0,0,0.000931067,0.000931067,0.000931067
19,5204.93,1.6949,1.23818,1.21817,0.00014,0.30558,0.582169,0.581736,0.606539,0.337995,0,0,0,0,0,0.000922942,0.000922942,0.000922942
20,5478.84,1.6928,1.2334,1.214,0.00014,0.30638,0.576474,0.600251,0.617525,0.336972,0,0,0,0,0,0.000914405,0.000914405,0.000914405
21,5751.73,1.68082,1.23042,1.21477,0.00014,0.30327,0.597916,0.607926,0.622434,0.344221,0,0,0,0,0,0.000905463,0.000905463,0.000905463
22,6025.94,1.67286,1.21251,1.20918,0.00014,0.30321,0.619949,0.620497,0.64142,0.355693,0,0,0,0,0,0.000896127,0.000896127,0.000896127
23,6301.76,1.64386,1.18868,1.19466,0.00013,0.30098,0.616603,0.611194,0.649424,0.366807,0,0,0,0,0,0.000886404,0.000886404,0.000886404
24,6578.37,1.64963,1.18902,1.19678,0.00013,0.29882,0.6257,0.608968,0.656771,0.369277,0,0,0,0,0,0.000876305,0.000876305,0.000876305
25,6853.8,1.63801,1.17756,1.18796,0.00013,0.29612,0.637319,0.620803,0.65489,0.367962,0,0,0,0,0,0.000865839,0.000865839,0.000865839
26,7128.15,1.63376,1.16441,1.18688,0.00013,0.29654,0.627966,0.624726,0.655237,0.373638,0,0,0,0,0,0.000855018,0.000855018,0.000855018
27,7401.26,1.62389,1.15877,1.18834,0.00013,0.29337,0.641918,0.637557,0.672082,0.377815,0,0,0,0,0,0.000843851,0.000843851,0.000843851
28,7674.01,1.60612,1.14707,1.17689,0.00013,0.2949,0.654216,0.632407,0.669435,0.381679,0,0,0,0,0,0.000832349,0.000832349,0.000832349
29,7946.99,1.6064,1.13994,1.17614,0.00013,0.2933,0.646191,0.634818,0.675623,0.390642,0,0,0,0,0,0.000820525,0.000820525,0.000820525
30,8219.78,1.59154,1.11547,1.16645,0.00013,0.29203,0.66681,0.63952,0.682585,0.393552,0,0,0,0,0,0.000808389,0.000808389,0.000808389
31,8493.11,1.58753,1.12254,1.16943,0.00013,0.28955,0.651028,0.653975,0.683689,0.391945,0,0,0,0,0,0.000795954,0.000795954,0.000795954
32,8766.62,1.5796,1.11383,1.16334,0.00013,0.29113,0.679792,0.646858,0.692776,0.397339,0,0,0,0,0,0.000783231,0.000783231,0.000783231
33,9039.18,1.57826,1.10606,1.16255,0.00013,0.28916,0.680484,0.650565,0.696802,0.407998,0,0,0,0,0,0.000770234,0.000770234,0.000770234
34,9312.53,1.56417,1.09473,1.15695,0.00013,0.28892,0.672909,0.6543,0.699059,0.409563,0,0,0,0,0,0.000756976,0.000756976,0.000756976
35,9586.75,1.55794,1.08584,1.15237,0.00013,0.2873,0.690145,0.654269,0.706374,0.415315,0,0,0,0,0,0.000743468,0.000743468,0.000743468
36,9860.05,1.55804,1.08799,1.15306,0.00013,0.28584,0.677102,0.659957,0.70192,0.410473,0,0,0,0,0,0.000729725,0.000729725,0.000729725
37,10134.4,1.54958,1.07481,1.14653,0.00013,0.28508,0.668409,0.65931,0.702622,0.411588,0,0,0,0,0,0.000715761,0.000715761,0.000715761
38,10407.9,1.54151,1.06696,1.14272,0.00013,0.28467,0.689632,0.672501,0.718522,0.428439,0,0,0,0,0,0.000701588,0.000701588,0.000701588
39,10681.5,1.52857,1.05743,1.13976,0.00013,0.28232,0.696361,0.663459,0.715342,0.423208,0,0,0,0,0,0.000687222,0.000687222,0.000687222
40,10956.8,1.52004,1.04722,1.13392,0.00013,0.28131,0.698337,0.678204,0.729531,0.438942,0,0,0,0,0,0.000672675,0.000672675,0.000672675
41,11231.3,1.51705,1.04451,1.13438,0.00013,0.28215,0.709446,0.668893,0.733967,0.442796,0,0,0,0,0,0.000657963,0.000657963,0.000657963
42,11506.6,1.51383,1.04192,1.13482,0.00013,0.2812,0.708047,0.67406,0.729303,0.438944,0,0,0,0,0,0.000643101,0.000643101,0.000643101
43,11782.2,1.50672,1.0364,1.12847,0.00013,0.27888,0.702927,0.681382,0.728574,0.435913,0,0,0,0,0,0.000628101,0.000628101,0.000628101
44,12058.7,1.49851,1.03459,1.12957,0.00013,0.28004,0.703413,0.687404,0.734927,0.444981,0,0,0,0,0,0.000612981,0.000612981,0.000612981
45,12336.5,1.49846,1.02619,1.12315,0.00012,0.27754,0.733096,0.679057,0.741103,0.447874,0,0,0,0,0,0.000597754,0.000597754,0.000597754
46,12609.9,1.48016,1.01481,1.11897,0.00012,0.27878,0.713687,0.691476,0.743849,0.450229,0,0,0,0,0,0.000582435,0.000582435,0.000582435
47,12883.3,1.48148,1.00972,1.11807,0.00012,0.27791,0.724382,0.68681,0.745638,0.454929,0,0,0,0,0,0.00056704,0.00056704,0.00056704
48,13157.6,1.47216,1.00207,1.11457,0.00013,0.27774,0.732211,0.686762,0.751213,0.461653,0,0,0,0,0,0.000551584,0.000551584,0.000551584
49,13432.2,1.4721,0.99963,1.1155,0.00012,0.27678,0.726549,0.695311,0.753882,0.463856,0,0,0,0,0,0.000536081,0.000536081,0.000536081
50,13706.1,1.46043,0.98558,1.10893,0.00012,0.27588,0.734119,0.696559,0.757276,0.464228,0,0,0,0,0,0.000520548,0.000520548,0.000520548
51,13981.1,1.45437,0.98333,1.10904,0.00012,0.27494,0.738996,0.688665,0.758253,0.466619,0,0,0,0,0,0.000505,0.000505,0.000505
52,14256.7,1.45862,0.9841,1.10738,0.00012,0.27436,0.75287,0.697035,0.768265,0.471963,0,0,0,0,0,0.000489452,0.000489452,0.000489452
53,14530.6,1.44506,0.98235,1.10222,0.00012,0.27493,0.754678,0.688231,0.763959,0.469858,0,0,0,0,0,0.000473919,0.000473919,0.000473919
54,14805.6,1.43186,0.9606,1.09639,0.00012,0.27362,0.746922,0.702417,0.770385,0.476234,0,0,0,0,0,0.000458416,0.000458416,0.000458416
55,15079.9,1.43222,0.96665,1.09693,0.00012,0.27447,0.754742,0.700805,0.773098,0.478541,0,0,0,0,0,0.00044296,0.00044296,0.00044296
56,15355.2,1.43423,0.96453,1.10005,0.00012,0.27336,0.75401,0.69906,0.770942,0.481757,0,0,0,0,0,0.000427565,0.000427565,0.000427565
57,15629.0,1.42783,0.9604,1.09353,0.00012,0.27173,0.763491,0.705368,0.775132,0.484455,0,0,0,0,0,0.000412246,0.000412246,0.000412246
58,15904.6,1.41743,0.94648,1.09139,0.00012,0.27266,0.762643,0.711878,0.78086,0.492378,0,0,0,0,0,0.000397019,0.000397019,0.000397019
59,16179.1,1.41614,0.94913,1.08912,0.00012,0.27117,0.760898,0.715195,0.781429,0.487962,0,0,0,0,0,0.000381899,0.000381899,0.000381899
60,16453.1,1.4082,0.94088,1.08764,0.00012,0.27145,0.76689,0.712532,0.782945,0.493487,0,0,0,0,0,0.000366899,0.000366899,0.000366899
61,16729.3,1.40448,0.93681,1.08419,0.00012,0.27024,0.764486,0.717729,0.783638,0.491952,0,0,0,0,0,0.000352037,0.000352037,0.000352037
62,17005.4,1.40315,0.93484,1.08466,0.00012,0.27023,0.771216,0.712789,0.787127,0.498299,0,0,0,0,0,0.000337325,0.000337325,0.000337325
63,17279.5,1.39964,0.93864,1.0823,0.00012,0.26897,0.774477,0.711952,0.785621,0.497213,0,0,0,0,0,0.000322778,0.000322778,0.000322778
64,17554.1,1.3927,0.92348,1.07696,0.00012,0.26913,0.768581,0.719927,0.790791,0.502151,0,0,0,0,0,0.000308412,0.000308412,0.000308412
65,17831.1,1.38294,0.92022,1.07286,0.00012,0.26984,0.773127,0.721121,0.795061,0.508192,0,0,0,0,0,0.000294239,0.000294239,0.000294239
66,18109.4,1.38032,0.91474,1.07409,0.00012,0.26971,0.7818,0.717029,0.792751,0.505944,0,0,0,0,0,0.000280275,0.000280275,0.000280275
67,18385.7,1.37836,0.91581,1.0744,0.00012,0.26912,0.790942,0.718449,0.797817,0.509289,0,0,0,0,0,0.000266532,0.000266532,0.000266532
68,18661.2,1.38355,0.91593,1.07371,0.00012,0.26843,0.782967,0.72532,0.799038,0.510549,0,0,0,0,0,0.000253024,0.000253024,0.000253024
69,18937.5,1.36583,0.90755,1.06774,0.00012,0.26818,0.777958,0.726331,0.797922,0.511139,0,0,0,0,0,0.000239766,0.000239766,0.000239766
70,19214.2,1.36654,0.90346,1.0659,0.00012,0.267,0.787742,0.716029,0.800793,0.51331,0,0,0,0,0,0.000226769,0.000226769,0.000226769
71,19488.8,1.36858,0.90338,1.06918,0.00012,0.26638,0.791134,0.723285,0.804121,0.514125,0,0,0,0,0,0.000214046,0.000214046,0.000214046
72,19763.0,1.36128,0.89841,1.06573,0.00012,0.26804,0.779627,0.732414,0.804726,0.51399,0,0,0,0,0,0.000201611,0.000201611,0.000201611
73,20034.9,1.35119,0.8931,1.0612,0.00012,0.26658,0.791862,0.725424,0.806262,0.51874,0,0,0,0,0,0.000189475,0.000189475,0.000189475
74,20309.0,1.35019,0.89098,1.06385,0.00012,0.26494,0.801183,0.725567,0.805976,0.517911,0,0,0,0,0,0.000177651,0.000177651,0.000177651
75,20584.3,1.34644,0.88686,1.05938,0.00012,0.26575,0.795927,0.729464,0.806861,0.520166,0,0,0,0,0,0.000166149,0.000166149,0.000166149
76,20859.5,1.34204,0.88635,1.05984,0.00012,0.26529,0.797924,0.728854,0.808242,0.519812,0,0,0,0,0,0.000154982,0.000154982,0.000154982
77,21134.4,1.34403,0.8891,1.05986,0.00012,0.26575,0.797716,0.732327,0.810634,0.523544,0,0,0,0,0,0.000144161,0.000144161,0.000144161
78,21407.6,1.33997,0.88365,1.05745,0.00012,0.26412,0.797573,0.730604,0.809837,0.523628,0,0,0,0,0,0.000133695,0.000133695,0.000133695
79,21681.5,1.33679,0.88239,1.05805,0.00012,0.26526,0.795868,0.732967,0.811018,0.524068,0,0,0,0,0,0.000123596,0.000123596,0.000123596
80,21954.8,1.32669,0.87086,1.04759,0.00012,0.26516,0.801322,0.732308,0.81082,0.524155,0,0,0,0,0,0.000113873,0.000113873,0.000113873
81,22229.8,1.3232,0.86913,1.05247,0.00012,0.26427,0.804569,0.729706,0.812461,0.525335,0,0,0,0,0,0.000104537,0.000104537,0.000104537
82,22504.1,1.32652,0.87078,1.05174,0.00012,0.26426,0.801188,0.732572,0.813693,0.527428,0,0,0,0,0,9.55951e-05,9.55951e-05,9.55951e-05
83,22776.7,1.32739,0.87265,1.05191,0.00012,0.26494,0.800757,0.735165,0.814423,0.528648,0,0,0,0,0,8.70577e-05,8.70577e-05,8.70577e-05
84,23050.2,1.32559,0.8715,1.05397,0.00012,0.2639,0.804105,0.734156,0.815803,0.529567,0,0,0,0,0,7.89327e-05,7.89327e-05,7.89327e-05
85,23322.4,1.30993,0.85859,1.04645,0.00012,0.26415,0.798792,0.741727,0.816399,0.530066,0,0,0,0,0,7.12282e-05,7.12282e-05,7.12282e-05
86,23592.0,1.14745,0.74098,0.98748,0.00014,0.25915,0.806825,0.733161,0.813753,0.527976,0,0,0,0,0,6.39518e-05,6.39518e-05,6.39518e-05
87,23858.1,1.12488,0.71924,0.98007,0.00013,0.25702,0.799405,0.737189,0.812985,0.527054,0,0,0,0,0,5.71106e-05,5.71106e-05,5.71106e-05
88,24124.1,1.1126,0.71017,0.97799,0.00012,0.25557,0.795722,0.741893,0.815446,0.529605,0,0,0,0,0,5.07115e-05,5.07115e-05,5.07115e-05
89,24390.1,1.11225,0.70998,0.97615,0.00012,0.25503,0.79653,0.740687,0.81625,0.530664,0,0,0,0,0,4.47606e-05,4.47606e-05,4.47606e-05
90,24657.3,1.1076,0.70905,0.97837,0.00012,0.25434,0.795227,0.744512,0.816594,0.53197,0,0,0,0,0,3.9264e-05,3.9264e-05,3.9264e-05
91,24923.9,1.09609,0.69793,0.97075,0.00012,0.2545,0.803729,0.741975,0.817612,0.53362,0,0,0,0,0,3.4227e-05,3.4227e-05,3.4227e-05
92,25189.9,1.09378,0.69532,0.97131,0.00012,0.25379,0.803267,0.741831,0.81871,0.534537,0,0,0,0,0,2.96546e-05,2.96546e-05,2.96546e-05
93,25455.8,1.09143,0.69188,0.96771,0.00012,0.25377,0.801258,0.745443,0.819937,0.53582,0,0,0,0,0,2.55513e-05,2.55513e-05,2.55513e-05
94,25722.2,1.08738,0.69036,0.96843,0.00012,0.25344,0.802931,0.744964,0.820462,0.536255,0,0,0,0,0,2.19212e-05,2.19212e-05,2.19212e-05
95,25988.5,1.09262,0.69457,0.97002,0.00012,0.25323,0.800693,0.747958,0.821337,0.53653,0,0,0,0,0,1.87678e-05,1.87678e-05,1.87678e-05
96,26254.8,1.09011,0.69247,0.96809,0.00012,0.2532,0.800965,0.749389,0.821873,0.537113,0,0,0,0,0,1.60943e-05,1.60943e-05,1.60943e-05
97,26521.6,1.08891,0.69365,0.96983,0.00012,0.25318,0.803773,0.748938,0.822433,0.537759,0,0,0,0,0,1.39032e-05,1.39032e-05,1.39032e-05
98,26787.9,1.08322,0.68683,0.96726,0.00012,0.25275,0.812297,0.744175,0.822301,0.537901,0,0,0,0,0,1.21968e-05,1.21968e-05,1.21968e-05
99,27055.5,1.08343,0.68564,0.96529,0.00012,0.25327,0.811501,0.744936,0.822643,0.538307,0,0,0,0,0,1.09768e-05,1.09768e-05,1.09768e-05
100,27322.2,1.0857,0.68849,0.96767,0.00012,0.25309,0.808543,0.747092,0.822769,0.53872,0,0,0,0,0,1.02443e-05,1.02443e-05,1.02443e-05
